left,right,count
-18.355902514086953,-18.202343002372466,1
-18.202343002372466,-18.048783490657975,0
-18.048783490657975,-17.895223978943484,8
-17.895223978943484,-17.741664467228997,0
-17.741664467228997,-17.58810495551451,0
-17.58810495551451,-17.43454544380002,2
-17.43454544380002,-17.280985932085528,0
-17.280985932085528,-17.12742642037104,13
-17.12742642037104,-16.973866908656554,0
-16.973866908656554,-16.820307396942063,2
-16.820307396942063,-16.666747885227572,0
-16.666747885227572,-16.513188373513085,1
-16.513188373513085,-16.359628861798598,0
-16.359628861798598,-16.206069350084107,0
-16.206069350084107,-16.052509838369616,6
-16.052509838369616,-15.898950326655129,1
-15.898950326655129,-15.74539081494064,5
-15.74539081494064,-15.59183130322615,2
-15.59183130322615,-15.438271791511662,3
-15.438271791511662,-15.284712279797173,4
-15.284712279797173,-15.131152768082684,7
-15.131152768082684,-14.977593256368195,3
-14.977593256368195,-14.824033744653706,6
-14.824033744653706,-14.670474232939217,7
-14.670474232939217,-14.516914721224728,5
-14.516914721224728,-14.363355209510239,4
-14.363355209510239,-14.20979569779575,13
-14.20979569779575,-14.05623618608126,10
-14.05623618608126,-13.902676674366772,13
-13.902676674366772,-13.749117162652283,18
-13.749117162652283,-13.595557650937794,11
-13.595557650937794,-13.441998139223305,10
-13.441998139223305,-13.288438627508816,13
-13.288438627508816,-13.134879115794327,14
-13.134879115794327,-12.981319604079838,21
-12.981319604079838,-12.827760092365349,24
-12.827760092365349,-12.67420058065086,32
-12.67420058065086,-12.52064106893637,28
-12.52064106893637,-12.367081557221882,36
-12.367081557221882,-12.213522045507393,26
-12.213522045507393,-12.059962533792904,34
-12.059962533792904,-11.906403022078415,32
-11.906403022078415,-11.752843510363926,49
-11.752843510363926,-11.599283998649437,50
-11.599283998649437,-11.445724486934948,42
-11.445724486934948,-11.292164975220459,36
-11.292164975220459,-11.13860546350597,58
-11.13860546350597,-10.98504595179148,44
-10.98504595179148,-10.831486440076992,48
-10.831486440076992,-10.677926928362503,62
-10.677926928362503,-10.524367416648014,49
-10.524367416648014,-10.370807904933525,62
-10.370807904933525,-10.217248393219036,74
-10.217248393219036,-10.063688881504547,82
-10.063688881504547,-9.910129369790058,83
-9.910129369790058,-9.756569858075569,68
-9.756569858075569,-9.60301034636108,92
-9.60301034636108,-9.44945083464659,103
-9.44945083464659,-9.295891322932102,114
-9.295891322932102,-9.142331811217613,107
-9.142331811217613,-8.988772299503124,151
-8.988772299503124,-8.835212787788635,155
-8.835212787788635,-8.681653276074146,193
-8.681653276074146,-8.528093764359657,167
-8.528093764359657,-8.374534252645168,171
-8.374534252645168,-8.220974740930679,168
-8.220974740930679,-8.06741522921619,187
-8.06741522921619,-7.913855717501701,163
-7.913855717501701,-7.760296205787212,181
-7.760296205787212,-7.606736694072723,179
-7.606736694072723,-7.453177182358234,145
-7.453177182358234,-7.299617670643745,146
-7.299617670643745,-7.1460581589292556,132
-7.1460581589292556,-6.9924986472147665,99
-6.9924986472147665,-6.8389391355002775,115
-6.8389391355002775,-6.6853796237857885,82
-6.6853796237857885,-6.5318201120712995,77
-6.5318201120712995,-6.3782606003568105,72
-6.3782606003568105,-6.2247010886423215,56
-6.2247010886423215,-6.0711415769278325,52
-6.0711415769278325,-5.9175820652133435,43
-5.9175820652133435,-5.7640225534988545,36
-5.7640225534988545,-5.6104630417843655,39
-5.6104630417843655,-5.4569035300698765,25
-5.4569035300698765,-5.3033440183553875,34
-5.3033440183553875,-5.1497845066408985,14
-5.1497845066408985,-4.9962249949264095,17
-4.9962249949264095,-4.8426654832119205,24
-4.8426654832119205,-4.6891059714974315,18
-4.6891059714974315,-4.5355464597829425,12
-4.5355464597829425,-4.3819869480684535,7
-4.3819869480684535,-4.2284274363539645,7
-4.2284274363539645,-4.0748679246394754,3
-4.0748679246394754,-3.9213084129249864,4
-3.9213084129249864,-3.7677489012104974,0
-3.7677489012104974,-3.6141893894960084,1
-3.6141893894960084,-3.4606298777815194,3
-3.4606298777815194,-3.3070703660670304,2
-3.3070703660670304,-3.1535108543525414,1
-3.1535108543525414,-2.999951342638053,2
